DRUG,TIMES_USED,DOSE_VAL_RX
Homatropine HBr,192993,
Desonide 0.05% Cream,192993,
Prazosin HCl,192993,
Tetanus-Diphtheria Toxoids-Td,192993,
Ethanol 70% Catheter DWELL,192993,
axitinib,192993,
Atenolol-Chlorthalidone,192993,
Methotrexate,192993,
Vivelle,192993,
LESCOL,192993,
HCRF,192993,
Neutra-phos,192993,
Cisplatin,192993,
Tylenol,192993,
Docusate,192993,
Phenylephrine 1% Nasal Spray,192993,
Accolate,192993,
Papain-Urea,192993,
Clofarabine or Placebo (*IND*),192993,
Pancrelipase 4500,192993,
Gelclair,192993,
pramoxine,192993,
Melatonin,192993,
Phenytoin chewtabs,192993,
Miglitol,192993,
Sodium Chloride,192993,
Heparin Flush Hickman (100 units/ml),192993,
Ranitidine (Liquid),192993,
Viokase 8,192993,
Atropine Sulfate 1% Ophth Ointment,192993,
gent,192993,
Estazolam,192993,
Clozapine,192993,
NAFCILLIN,192993,
URECHOLINE,192993,
Rabies Vaccine,192993,
Atovaquone Suspension,192993,
Hydrochloric Acid,192993,
Milk of Magnesia,192993,
glycopyrrolate,192993,
Ditropan XL,192993,
Calcium 600 + D(3),192993,
Procainamide,192993,
Glucosamine-Chondroitin,192993,
Kytril,192993,
eucerin,192993,
Aspercreme ,192993,
Detrol LA,192993,
char,192993,
pyrimethamine,192993,
quiniDINE Sulfate,192993,
Triamcinolone Acetonide 0.025% Cream,192993,
Magnesium Sulfate Replacement (Critical Care and Oncology),192993,
Sodium Citrate/Citric Acid,192993,
Mitoxantrone HCl,192993,
Bisaco,192993,
Zolmitriptan,192993,
mult,192993,
demeclocycline,192993,
Feraheme,192993,
AZILECT(rasagilne),192993,
Blue-Green Algae (Spirulina),192993,
Neoral *Study Medication*,192993,
MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPSULES,192993,
Azathioprine,192993,
Opium Deodorized Tinc.,192993,
sitaGLIPtin,192993,
NIFEdipine CR,192993,
betamethasone,192993,
Mirtazapine,192993,
Aranesp (polysorbate),192993,
Wellbutrin,192993,
tuck,192993,
Unasyn,192993,
Mupirocin Cream 2%,192993,
Dermagran Ointment,192993,
EPINEPHrine Auto Injector,192993,
Tacr,192993,
NovoLOG Flexpen,192993,
gala,192993,
Imodium,192993,
Lumigan 0.01%,192993,
bicalutamide,192993,
Oxymetazoline,192993,
Racepinephrine,192993,
ibuprofen,192993,
Thioridazine,192993,
Chlorothiazide,192993,
Avodart( dutasteride),192993,
Acetic Acid,192993,
Lactaid Fast Act,192993,
Potassium Chl 20 mEq / 1000 mL D5LR,192993,
Methadone HCl,192993,
Clonidine,192993,
Nicotine,192993,
Menomune,192993,
Asparaginase,192993,
Testosterone 4 mg Patch,192993,
Hurricaine Spray,192993,
"Meningococ Vac A,C,Y,W135 (PF)",192993,
Acetaminophen (Rectal),192993,
Docusate Sod,192993,
Dexamethason,192993,
potas,192993,
Pyridoxine Hcl,192993,
Methylphenidate SR,192993,
*NF* Rasburicase,192993,
Beconase AQ Nasal Spray,192993,
Junel FE 1/20 (28),192993,
NEO*GENTIAN VIOLET SOL.,192993,
Syringe (Neonatal) *D5W*,192993,
Hectorol,192993,
Desmopressin ,192993,
Ipratropium Bromide HFA,192993,
Neomycin-Polymyxin-Bacitracin Ophth. Oint,192993,
B Complex Vitamins,192993,
Docu,192993,
Ampicil,192993,
*nf* Lanolin (Hydrous),192993,
zz ,192993,
Paromomycin Sulfate,192993,
Ziprasidone,192993,
Mycophenolate Mofetil Hcl,192993,
AMPicillin,192993,
Lantus,192993,
Droperidol,192993,
Lidocaine Jelly ,192993,
*NF* Lidocaine Patch 5%,192993,
Xopenex (levalbuterol),192993,
Hydrocortisone (Rectal) 2.5% Cream,192993,
SulfADIAzine,192993,
Oxymetazoline (Half Strength),192993,
Nafcillin Desensitization,192993,
Prevident Mint Gel 1.1%,192993,
Magnesium Sulfate in D5W,192993,
FLUoxetine,192993,
*NF* Rocuronium,192993,
Heparin Flush CVL  (100 units/ml) ,192993,
HUMALOG,192993,
Lidocaine 2% P.f.,192993,
Nisoldipine (Sular),192993,
Pegasys,192993,
lans,192993,
B-50,192993,
Hep,192993,
Buprenorphine-Naloxone (8mg-2mg),192993,
aranesp 300 mcg,192993,
Irinotecan,192993,
Estroven Maximum Strength,192993,
Humulin R,192993,
*NF* Ciprofloxacin 0.3% Ophth Oint,192993,
Promit,192993,
Ocuvite Lutein,192993,
Vitamin B-6,192993,
Fleet ,192993,
letrozole,192993,
Humulin N,192993,
Cortisone,192993,
Dextromethorphan Polistirex,192993,
Carmustine,192993,
phen,192993,
Tylenol Arthritis,192993,
Razadyne,192993,
*NF* Tacrolimus Suspension,192993,
Aspirin Desensitization (Angioedema),192993,
Aspiri,192993,
Aspir,192993,
Clindamycin HCl,192993,
Neomycin-Polymyxin-HC (Otic),192993,
Propofol (Diprivan),192993,
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),192993,
Urocit-K 5,192993,
Multivi,192993,
Nafcillin,192993,
Eye Wash,192993,
Amphetamine-Dextroamphetamine,192993,
fidaxomicin,192993,
prevac,192993,
Estradiol Transdermal (Vivelle-DOT),192993,
*NF* Rofecoxib,192993,
Polyvinyl Alcohol-Povidone,192993,
Genta,192993,
Erythromycin Base,192993,
Morphine Sulfate (Immediate Release),192993,
Bisacodyl (Rectal),192993,
Bisoprolol Fumarate,192993,
Didanos,192993,
Filgrastim,192993,
ocean,192993,
Ond,192993,
cefadroxil,192993,
Jolessa,192993,
Insulin Regular Human,192993,
